# mostly taken from http://www.dot.gov.in/numbering_plan/nnp2003.pdf
# and http://en.wikipedia.org/wiki/Telephone_numbers_in_India

^+	plus
^00	idd
^0.	trunk

^9	cell

^1800	service

^100	emergency	police
^101	emergency	fire
^102	emergency	medical
^1298	emergency	medical
^103	emergency	traffic
^104	emergency	medical
^108	emergency	medical
^112	emergency	local emergency number

^2	local
^3	local
^4	local
^5	local
^6	local
^7	none	invalid
^8	none	invalid

9	cell
2164	area	Karad	Karad, Satara
2165	area	Dhiwadi	Dhiwadi, Satara
2166	area	Phaltan	Phaltan, Satara
2167	area	Wai	Wai, Satara
2168	area	Mahabaleswar	Mahabaleswar, Satara
2169	area	Shirwal	Shirwal, Satara
217	area	Sholapur	Sholapur, Sholapur
2181	area	Akkalkot	Akkalkot, Sholapur
2182	area	Karmala	Karmala, Sholapur
2183	area	Madha	Madha, Sholapur
2184	area	Barsi	Barsi, Sholapur
2185	area	Malsuras	Malsuras, Sholapur
2186	area	Pandharpur	Pandharpur, Sholapur
2187	area	Sangola	Sangola, Sholapur
2188	area	Mangalwedha	Mangalwedha, Sholapur
2189	area	Mohol	Mohol, Sholapur
2191	area	Poladpur	Poladpur, Pen
2192	area	Khopoli	Khopoli, Pen
2194	area	Roha	Roha, Pen
22	area	Mumbai	Mumbai, Mumbai
230	area	Khadakwasala	Khadakwasala, Pune
231	area	Kolhapur	Kolhapur, Kolhapur
2320	area	Chandgad	Chandgad, Kolhapur
2321	area	Radhanagar	Radhanagar, Kolhapur
2322	area	Shirol	Shirol (Jalsingpur), Kolhapur
2323	area	Ajara	Ajara, Kolhapur
2324	area	Hatkangale	Hatkangale (Ichalkaranji), Kolhapur
2325	area	Kagal	Kagal (Murgud), Kolhapur
2326	area	Gaganbavada	Gaganbavada, Kolhapur
2327	area	Gadhinglaj	Gadhinglaj, Kolhapur
2328	area	Panhala	Panhala, Kolhapur
2329	area	Shahuwadi	Shahuwadi (Malakapur), Kolhapur
233	area	Sangli	Sangli, Sangli
2341	area	Kavathemankal	Kavathemankal, Sangli
2342	area	Islampur	Islampur, Sangli
2343	area	Atpadi	Atpadi, Sangli
2344	area	Jath	Jath, Sangli
2345	area	Shirala	Shirala, Sangli
2346	area	Tasgaon	Tasgaon, Sangli
2347	area	Vita	Vita, Sangli
2350	area	Madangad	Madangad, Ratnagiri
2351	area	Langa	Langa, Ratnagiri
2352	area	Ratnagiri	Ratnagiri, Ratnagiri
2353	area	Rajapur	Rajapur, Ratnagiri
2354	area	Sanganeshwar	Sanganeshwar (Deorukh), Ratnagiri
2355	area	Chiplun	Chiplun, Ratnagiri
2356	area	Khed	Khed, Ratnagiri
2357	area	Malgund	Malgund, Ratnagiri
2358	area	Dapoli	Dapoli, Ratnagiri
2359	area	Guhagar	Guhagar, Ratnagiri
2362	area	Kudal	Kudal, Kudal
2363	area	Sawantwadi	Sawantwadi, Kudal
2364	area	Deogad	Deogad, Kudal
2365	area	Malwan	Malwan, Kudal
2366	area	Vengurla	Vengurla, Kudal
2367	area	Kankavali	Kankavali, Kudal
2371	area	Wathar	Wathar, Satara
2372	area	Patan	Patan, Satara
2373	area	Mahaswad	Mahaswad, Satara
2375	area	Pusegaon	Pusegaon, Satara
2378	area	Medha	Medha, Satara
2381	area	Ahmedpur	Ahmedpur, Latur
2382	area	Latur	Latur, Latur
2383	area	Ausa	Ausa, Latur
2384	area	Nilanga	Nilanga, Latur
2385	area	Udgir	Udgir, Latur
